//Infinity SDlogger
//Ver0.33
[Head]
SondeName=ASTD102-ALC-R02
SondeNo=0387
SensorType=D0D1T1C1C2K0U3O0TOB0
Channel=10
DelayTime=0
PreHeat=5000
MeasMode=2
BurstTime=1
BurstCnt=1
Interval=100
SampleCnt=24        
StartTime=2026/02/03 14:05:16
EndTime=2026/02/03 14:05:31
DepAdjRho=1.0250
ECA=0
ECB=1
ECDeg=25
ECCoef=0.022
CHLA=0
CHLB=1
CoefDate=2024/03/15
Ch1=-3.540667e-01,+1.239512e-04,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch2=0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch3=-5.606955e+00,+1.071993e-03,-1.292264e-08,+3.043486e-13,-3.778256e-18,+2.712041e-23,+0.000000e+00,+0.000000e+00,
Ch4=+3.387552e-02,+3.819663e+01,+2.558023e-02,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch5=0.000000000e00,1.0000000000000,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch6=-4.911925e+00,+7.287722e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch7=-8.843327e+00,+1.352578e-02,+8.991302e-08,-2.086597e-13,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch8=-4.257622e+01,+2.027357e+06,-5.904869e+03,+1.055300e-02,+3.800000e-03,+6.690000e-05,+0.000000e+00,+1.000000e+00,
Ch9=-5.418244e+00,+1.074936e-03,-1.318620e-08,+3.182674e-13,-4.102598e-18,+2.990112e-23,+0.000000e+00,+0.000000e+00,
Ch10=0.000000000e00,3.484000000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
BuzzerEN=0
BuzzerInterval=1
COMMENT= 
SensorType2=06070303000202020302
BuzzerNumber=1
DepM=0.5
CondDepB=0
FilmNo=230757BA
[Item]
深度 [m],水温 [℃],塩分 [ ],電導度 [mS/cm],EC25 [μS/cm],Density [kg/m^3],σT [ ],Chl-Flu. [ppb],Chl-a [μg/l],濁度中ﾚﾝｼﾞ [FTU],DO [%],DO [mg/l],電池電圧 [V],
0.000,11.926,33.596,38.489,54029.099,1025.513,25.513,0.86,0.86,0.74,99.13,8.653,8.22,
0.500,11.899,33.561,38.427,53988.187,1025.493,25.490,1.02,1.02,0.91,99.03,8.657,8.16,
1.000,11.890,33.581,38.440,54020.900,1025.512,25.508,1.15,1.15,0.86,99.15,8.669,8.15,
1.500,11.886,33.593,38.449,54040.747,1025.525,25.518,1.59,1.59,1.06,99.19,8.670,8.14,
2.000,11.877,33.568,38.415,54007.527,1025.509,25.500,1.30,1.30,1.11,99.11,8.668,8.15,
2.500,11.908,33.580,38.456,54013.651,1025.515,25.503,1.51,1.51,0.97,99.22,8.672,8.14,
3.000,11.905,33.596,38.470,54037.850,1025.530,25.516,1.95,1.95,1.01,99.16,8.666,8.15,
3.500,11.908,33.592,38.469,54031.970,1025.529,25.513,1.45,1.45,0.94,99.13,8.661,8.14,
4.000,11.922,33.583,38.473,54013.377,1025.521,25.503,2.29,2.29,0.98,99.15,8.661,8.14,
4.500,11.924,33.594,38.487,54030.392,1025.532,25.512,1.72,1.72,1.00,98.99,8.647,8.15,
5.000,11.924,33.593,38.486,54028.017,1025.533,25.510,1.79,1.79,0.93,99.01,8.649,8.14,
5.500,11.918,33.596,38.484,54035.266,1025.539,25.514,2.17,2.17,0.93,98.92,8.641,8.12,
6.000,11.910,33.592,38.472,54033.091,1025.540,25.513,1.84,1.84,0.96,98.89,8.640,8.14,
6.500,11.908,33.592,38.471,54033.343,1025.542,25.513,2.15,2.15,1.00,98.75,8.629,8.12,
7.000,11.907,33.593,38.470,54035.434,1025.545,25.514,1.71,1.71,0.97,98.66,8.621,8.16,
7.500,11.903,33.595,38.470,54040.380,1025.550,25.516,2.97,2.97,1.01,98.60,8.616,8.14,
8.000,11.908,33.595,38.474,54038.674,1025.551,25.515,1.59,1.59,0.94,98.50,8.608,8.14,
8.500,11.913,33.599,38.483,54043.112,1025.556,25.517,3.43,3.43,1.27,98.47,8.603,8.14,
9.000,11.913,33.596,38.480,54038.499,1025.555,25.515,3.77,3.77,1.05,98.43,8.600,8.14,
9.500,11.907,33.598,38.477,54044.227,1025.560,25.518,1.95,1.95,1.02,98.42,8.599,8.14,
10.000,11.908,33.602,38.482,54050.234,1025.566,25.521,1.79,1.79,1.01,98.32,8.591,8.12,
10.500,11.906,33.594,38.473,54040.093,1025.562,25.515,2.48,2.48,0.94,98.26,8.586,8.12,
11.000,11.917,33.596,38.485,54038.758,1025.564,25.514,1.87,1.87,1.00,98.31,8.589,8.14,
11.500,11.923,33.594,38.489,54034.217,1025.564,25.512,2.08,2.08,1.27,98.29,8.586,8.14,
