// AAQ-RINKO Series Data Processing Software
// Version 1.11
// File Date:2026/01/05 12:01:29
// Copyright (C) JFE Advantech Co., Ltd.

[Format]
FormatVersion=1.00
DataFormat=1
Delimiter=0
MeasMode=0
Model=D-10

[Head]
SondeName=AAQ171-CAD
SondeNo=0328
SensorType=D0D1T1C1C2K0U3O0TOP0TP
SensorType2=0303030303030303030303
Channel=11
Comment=

PreHeat=1000
Interval=100
SampleCnt=464

StartTime=2026/01/05 09:09:52
EndTime=2026/01/05 09:10:39

DepAdjRho=1.0250
DepAdjRhoFlg=1

ECA=0
ECB=1
ECDeg=25
ECCoef=0.022

CHLA=0
CHLB=1

PC_SWA=0
PC_SWB=1
PC_SWC=0
PC_SWD=0

DepthZero=0.229207
StartDepthA=0
StartDepthB=0

StartPosition=----.----, ----.----
EndPosition=----.----, ----.----

FilmNo=241255BA
UseMicroMol=0

CoefDate=2025/05/27

Ch1=-6.63583300e-02,2.279624000e-05,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch2=0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch3=-5.55976000e00,1.068663000e-03,-1.25300000e-08,2.882681000e-13,-3.49266300e-18,2.534904000e-23,0.000000000e00,0.000000000e00,
Ch4=2.784703000e-02,3.685914000e01,2.624574000e-02,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch5=0.000000000e00,1.0000000000000,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch6=-4.33982300e00,6.487029000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch7=-9.36329500e00,1.419025000e-02,9.348176000e-08,-1.83087900e-13,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch8=-4.23570100e01,2.153332000e06,-5.51231900e03,1.016450000e-02,4.200000000e-03,5.326000000e-05,0.000000000e00,1.000000000e00,
Ch9=-5.79016500e00,1.069859000e-03,-1.28152300e-08,3.009329000e-13,-3.74326800e-18,2.715936000e-23,0.000000000e00,0.000000000e00,
Ch10=6.836748000e00,2.639268000e-04,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch11=-5.22108300e00,1.742068000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,

[Item]
観測日時,深度 [m],水温 [℃],塩分,電導度 [mS/cm],EC25 [μS/cm],密度 [kg/m3],シグマＴ,Chl-Flu. [ppb],Chl-a [μg/l],濁度 [FTU],pH,DO [%],Weiss-DO [mg/l],G&G-DO [mg/l],B&K-DO [mg/l],
2026/01/05 09:10:30,13.015,14.348,32.710,39.797,51978.0,1024.404,24.346,2.446,2.446,1.590,7.511,89.865,7.509,7.516,7.516,
2026/01/05 09:10:30,13.040,14.348,32.711,39.798,51979.2,1024.405,24.346,2.011,2.011,1.461,7.511,89.868,7.508,7.516,7.516,
2026/01/05 09:10:30,13.074,14.347,32.712,39.799,51980.6,1024.406,24.347,1.953,1.953,1.991,7.510,89.841,7.506,7.514,7.514,
2026/01/05 09:10:30,13.117,14.347,32.710,39.797,51979.0,1024.405,24.346,4.054,4.054,1.690,7.511,89.864,7.508,7.516,7.516,
2026/01/05 09:10:30,13.156,14.347,32.709,39.796,51977.5,1024.404,24.345,2.763,2.763,1.490,7.510,89.881,7.510,7.517,7.517,
2026/01/05 09:10:30,13.188,14.348,32.710,39.797,51978.3,1024.405,24.346,2.257,2.257,1.346,7.510,89.876,7.509,7.516,7.516,
2026/01/05 09:10:30,13.222,14.348,32.711,39.799,51980.3,1024.406,24.347,2.095,2.095,1.475,7.510,89.862,7.508,7.515,7.515,
2026/01/05 09:10:31,13.249,14.347,32.711,39.798,51980.6,1024.406,24.347,1.927,1.927,1.676,7.510,89.871,7.510,7.517,7.517,
2026/01/05 09:10:31,13.287,14.347,32.711,39.797,51979.7,1024.406,24.346,2.147,2.147,1.504,7.510,89.909,7.513,7.520,7.520,
2026/01/05 09:10:31,13.324,14.347,32.711,39.798,51980.3,1024.406,24.347,2.270,2.270,1.490,7.510,89.870,7.509,7.516,7.516,
2026/01/05 09:10:31,13.365,14.347,32.712,39.799,51980.9,1024.407,24.347,1.953,1.953,1.604,7.510,89.865,7.508,7.516,7.516,
2026/01/05 09:10:31,13.403,14.347,32.712,39.799,51981.0,1024.407,24.347,2.420,2.420,1.504,7.510,89.862,7.509,7.516,7.516,
2026/01/05 09:10:31,13.428,14.347,32.709,39.796,51977.0,1024.405,24.345,2.381,2.381,1.447,7.510,89.862,7.509,7.516,7.516,
2026/01/05 09:10:31,13.448,14.348,32.710,39.798,51977.8,1024.406,24.345,2.355,2.355,1.619,7.510,89.839,7.507,7.514,7.514,
2026/01/05 09:10:31,13.464,14.348,32.710,39.798,51979.1,1024.406,24.346,2.426,2.426,2.163,7.510,89.824,7.506,7.513,7.513,
2026/01/05 09:10:31,13.494,14.347,32.710,39.797,51978.8,1024.406,24.346,2.796,2.796,1.705,7.510,89.844,7.507,7.514,7.514,
2026/01/05 09:10:31,13.517,14.347,32.710,39.797,51978.9,1024.406,24.346,2.874,2.874,1.647,7.510,89.858,7.509,7.516,7.516,
2026/01/05 09:10:32,13.539,14.347,32.712,39.799,51981.3,1024.408,24.347,3.003,3.003,1.533,7.510,89.844,7.508,7.515,7.515,
2026/01/05 09:10:32,13.580,14.347,32.710,39.797,51979.4,1024.407,24.346,2.257,2.257,2.063,7.510,89.818,7.504,7.512,7.512,
2026/01/05 09:10:32,13.603,14.347,32.709,39.796,51978.0,1024.406,24.345,2.102,2.102,1.791,7.510,89.845,7.508,7.515,7.515,
2026/01/05 09:10:32,13.625,14.347,32.711,39.798,51980.6,1024.408,24.347,2.283,2.283,1.834,7.510,89.874,7.510,7.517,7.517,
2026/01/05 09:10:32,13.646,14.347,32.712,39.799,51981.3,1024.408,24.347,2.238,2.238,1.561,7.510,89.887,7.511,7.518,7.518,
2026/01/05 09:10:32,13.671,14.347,32.711,39.798,51980.0,1024.408,24.346,2.491,2.491,1.576,7.510,89.855,7.508,7.515,7.515,
2026/01/05 09:10:32,13.702,14.346,32.713,39.799,51982.7,1024.409,24.348,2.498,2.498,1.690,7.510,89.839,7.507,7.514,7.514,
2026/01/05 09:10:32,13.732,14.346,32.713,39.799,51983.1,1024.410,24.348,2.238,2.238,1.475,7.510,89.852,7.507,7.515,7.515,
2026/01/05 09:10:32,13.759,14.346,32.714,39.800,51984.2,1024.410,24.349,2.783,2.783,1.432,7.510,89.857,7.508,7.516,7.516,
2026/01/05 09:10:32,13.805,14.346,32.711,39.797,51980.9,1024.409,24.347,3.211,3.211,1.576,7.510,89.812,7.504,7.511,7.511,
2026/01/05 09:10:33,13.827,14.346,32.711,39.797,51980.5,1024.409,24.347,2.329,2.329,1.389,7.510,89.871,7.509,7.517,7.517,
2026/01/05 09:10:33,13.854,14.347,32.712,39.799,51981.4,1024.409,24.347,2.154,2.154,1.432,7.510,89.895,7.511,7.519,7.519,
2026/01/05 09:10:33,13.877,14.348,32.711,39.799,51980.5,1024.409,24.347,2.245,2.245,1.662,7.510,89.895,7.511,7.519,7.519,
2026/01/05 09:10:33,13.913,14.347,32.712,39.799,51982.2,1024.410,24.348,2.257,2.257,2.235,7.510,89.869,7.509,7.516,7.516,
2026/01/05 09:10:33,13.943,14.348,32.711,39.799,51980.7,1024.409,24.347,2.089,2.089,6.503,7.510,89.864,7.509,7.516,7.516,
2026/01/05 09:10:33,13.972,14.347,32.712,39.799,51981.8,1024.410,24.347,2.848,2.848,3.728,7.510,89.855,7.508,7.515,7.515,
2026/01/05 09:10:33,13.981,14.347,32.712,39.799,51982.0,1024.410,24.347,3.140,3.140,2.049,7.509,89.838,7.506,7.514,7.514,
2026/01/05 09:10:33,14.022,14.347,32.711,39.798,51980.7,1024.410,24.347,2.530,2.530,1.805,7.509,89.872,7.509,7.517,7.517,
2026/01/05 09:10:33,14.040,14.347,32.710,39.798,51979.2,1024.409,24.346,2.413,2.413,1.533,7.509,89.926,7.515,7.522,7.522,
2026/01/05 09:10:33,14.059,14.348,32.711,39.800,51980.9,1024.410,24.347,2.199,2.199,1.447,7.509,89.865,7.510,7.517,7.517,
2026/01/05 09:10:34,14.079,14.349,32.710,39.799,51979.3,1024.409,24.346,1.842,1.842,1.504,7.509,89.879,7.511,7.518,7.518,
2026/01/05 09:10:34,14.104,14.349,32.711,39.800,51980.4,1024.410,24.346,2.134,2.134,1.490,7.509,89.877,7.510,7.518,7.518,
2026/01/05 09:10:34,14.129,14.348,32.711,39.800,51980.4,1024.410,24.346,2.095,2.095,1.547,7.509,89.856,7.509,7.516,7.516,
2026/01/05 09:10:34,14.152,14.349,32.710,39.799,51979.3,1024.409,24.346,1.842,1.842,1.604,7.509,89.830,7.506,7.514,7.514,
2026/01/05 09:10:34,14.197,14.348,32.711,39.799,51980.0,1024.410,24.346,2.335,2.335,1.475,7.509,89.838,7.506,7.514,7.514,
2026/01/05 09:10:34,14.210,14.349,32.710,39.799,51979.1,1024.409,24.346,2.193,2.193,1.518,7.509,89.822,7.505,7.512,7.512,
2026/01/05 09:10:34,14.222,14.349,32.710,39.799,51978.2,1024.409,24.345,1.920,1.920,1.676,7.509,89.814,7.504,7.512,7.512,
2026/01/05 09:10:34,14.242,14.349,32.708,39.797,51976.5,1024.408,24.344,2.387,2.387,1.791,7.509,89.858,7.509,7.516,7.516,
2026/01/05 09:10:34,14.265,14.349,32.708,39.797,51975.9,1024.408,24.344,1.927,1.927,1.647,7.509,89.854,7.509,7.516,7.516,
2026/01/05 09:10:34,14.288,14.349,32.710,39.799,51979.3,1024.410,24.346,1.862,1.862,1.518,7.509,89.814,7.505,7.512,7.512,
2026/01/05 09:10:35,14.317,14.349,32.711,39.800,51980.2,1024.410,24.346,2.219,2.219,1.490,7.509,89.901,7.512,7.520,7.520,
2026/01/05 09:10:35,14.326,14.349,32.711,39.800,51980.4,1024.411,24.346,2.199,2.199,1.733,7.509,89.885,7.511,7.518,7.518,
2026/01/05 09:10:35,14.374,14.348,32.711,39.799,51980.2,1024.411,24.346,2.069,2.069,1.676,7.509,89.823,7.505,7.512,7.512,
2026/01/05 09:10:35,14.399,14.348,32.711,39.799,51979.6,1024.411,24.346,1.979,1.979,1.733,7.509,89.780,7.502,7.509,7.509,
2026/01/05 09:10:35,14.426,14.349,32.712,39.801,51981.0,1024.411,24.347,2.245,2.245,1.676,7.509,89.779,7.502,7.509,7.509,
2026/01/05 09:10:35,14.442,14.349,32.712,39.801,51982.1,1024.412,24.347,1.985,1.985,1.547,7.509,89.790,7.503,7.510,7.510,
2026/01/05 09:10:35,14.476,14.349,32.709,39.798,51977.7,1024.410,24.345,1.771,1.771,1.576,7.509,89.791,7.503,7.511,7.510,
2026/01/05 09:10:35,14.508,14.349,32.711,39.799,51979.8,1024.411,24.346,1.849,1.849,1.561,7.509,89.813,7.505,7.512,7.512,
2026/01/05 09:10:35,14.533,14.349,32.712,39.801,51981.5,1024.412,24.347,2.121,2.121,1.676,7.509,89.809,7.504,7.511,7.511,
2026/01/05 09:10:35,14.535,14.349,32.712,39.801,51981.3,1024.412,24.347,2.309,2.309,1.719,7.509,89.765,7.500,7.507,7.507,
2026/01/05 09:10:36,14.589,14.349,32.709,39.798,51977.1,1024.410,24.344,2.556,2.556,1.633,7.508,89.817,7.505,7.512,7.512,
2026/01/05 09:10:36,14.612,14.350,32.711,39.801,51979.9,1024.411,24.346,1.933,1.933,1.647,7.508,89.806,7.504,7.512,7.511,
2026/01/05 09:10:36,14.616,14.349,32.710,39.800,51979.3,1024.411,24.346,2.011,2.011,1.805,7.508,89.830,7.506,7.514,7.514,
2026/01/05 09:10:36,14.660,14.349,32.709,39.799,51977.9,1024.411,24.345,2.186,2.186,1.891,7.508,89.838,7.507,7.514,7.514,
2026/01/05 09:10:36,14.682,14.349,32.710,39.800,51979.0,1024.411,24.345,2.491,2.491,1.891,7.508,89.850,7.508,7.515,7.515,
2026/01/05 09:10:36,14.714,14.350,32.710,39.800,51979.1,1024.411,24.345,2.186,2.186,2.049,7.508,89.845,7.507,7.514,7.514,
2026/01/05 09:10:36,14.734,14.349,32.712,39.802,51982.0,1024.413,24.347,2.134,2.134,2.034,7.508,89.841,7.507,7.514,7.514,
2026/01/05 09:10:36,14.798,14.350,32.711,39.800,51979.7,1024.412,24.346,2.056,2.056,1.604,7.508,89.808,7.504,7.511,7.511,
2026/01/05 09:10:36,14.825,14.350,32.710,39.801,51979.2,1024.412,24.345,4.554,4.554,1.719,7.508,89.779,7.501,7.508,7.508,
2026/01/05 09:10:36,14.845,14.349,32.712,39.802,51981.5,1024.413,24.347,2.991,2.991,1.791,7.508,89.779,7.500,7.508,7.508,
2026/01/05 09:10:37,14.880,14.349,32.712,39.802,51981.9,1024.414,24.347,2.193,2.193,1.662,7.508,89.810,7.503,7.510,7.510,
2026/01/05 09:10:37,14.916,14.349,32.711,39.800,51980.6,1024.413,24.346,2.381,2.381,1.705,7.508,89.823,7.505,7.512,7.512,
2026/01/05 09:10:37,14.952,14.349,32.711,39.801,51981.0,1024.414,24.346,2.562,2.562,1.834,7.508,89.795,7.503,7.510,7.510,
2026/01/05 09:10:37,14.968,14.349,32.712,39.801,51981.8,1024.414,24.347,2.069,2.069,1.719,7.508,89.784,7.501,7.509,7.509,
2026/01/05 09:10:37,14.988,14.349,32.711,39.801,51981.1,1024.414,24.347,1.881,1.881,1.633,7.508,89.811,7.503,7.511,7.510,
2026/01/05 09:10:37,15.045,14.350,32.709,39.799,51977.1,1024.412,24.344,1.998,1.998,2.493,7.508,89.793,7.502,7.509,7.509,
2026/01/05 09:10:37,15.068,14.349,32.711,39.801,51980.2,1024.414,24.346,2.225,2.225,3.082,7.508,89.806,7.503,7.511,7.511,
2026/01/05 09:10:37,15.095,14.350,32.712,39.802,51981.3,1024.414,24.347,2.348,2.348,2.135,7.508,89.769,7.500,7.508,7.507,
2026/01/05 09:10:37,15.127,14.350,32.711,39.802,51980.7,1024.414,24.346,2.212,2.212,2.020,7.508,89.761,7.500,7.507,7.507,
2026/01/05 09:10:37,15.158,14.350,32.711,39.802,51981.0,1024.414,24.346,2.173,2.173,2.077,7.508,89.814,7.505,7.512,7.512,
2026/01/05 09:10:38,15.183,14.351,32.710,39.801,51979.0,1024.413,24.345,1.927,1.927,1.762,7.508,89.795,7.503,7.510,7.510,
2026/01/05 09:10:38,15.197,14.350,32.711,39.801,51979.8,1024.414,24.346,1.849,1.849,1.705,7.507,89.834,7.506,7.513,7.513,
2026/01/05 09:10:38,15.229,14.351,32.710,39.801,51979.1,1024.414,24.345,2.180,2.180,1.733,7.507,89.778,7.501,7.509,7.508,
2026/01/05 09:10:38,15.281,14.351,32.712,39.803,51982.0,1024.415,24.347,2.206,2.206,1.719,7.507,89.815,7.504,7.511,7.511,
